id,dataset,ts,time,order_type,order_side,price,qty
172,Ag(T+D)@sg,1522415190000,2018-03-30 21:06:30.000000,LIMIT,BID,3593.0,10
173,Ag(T+D)@sg,1522415200000,2018-03-30 21:06:40.000000,LIMIT,BID,3593.0,10
174,Ag(T+D)@sg,1522415210000,2018-03-30 21:06:50.000000,LIMIT,BID,3593.0,10
175,Ag(T+D)@sg,1522415220000,2018-03-30 21:07:00.000000,LIMIT,BID,3593.0,10
176,Ag(T+D)@sg,1522415230000,2018-03-30 21:07:10.000000,LIMIT,BID,3593.0,10
177,Ag(T+D)@sg,1522415240000,2018-03-30 21:07:20.000000,LIMIT,BID,3593.0,10
178,Ag(T+D)@sg,1522415250000,2018-03-30 21:07:30.000000,LIMIT,BID,3593.0,10
179,Ag(T+D)@sg,1522415260000,2018-03-30 21:07:40.000000,LIMIT,BID,3593.0,10
180,Ag(T+D)@sg,1522415270000,2018-03-30 21:07:50.000000,LIMIT,BID,3593.0,10
181,Ag(T+D)@sg,1522415280000,2018-03-30 21:08:00.000000,LIMIT,BID,3593.0,10
182,Ag(T+D)@sg,1522415290000,2018-03-30 21:08:10.000000,LIMIT,BID,3593.0,10
183,Ag(T+D)@sg,1522415300000,2018-03-30 21:08:20.000000,LIMIT,BID,3593.0,10
184,Ag(T+D)@sg,1522415310000,2018-03-30 21:08:30.000000,LIMIT,BID,3593.0,10
185,Ag(T+D)@sg,1522415320000,2018-03-30 21:08:40.000000,LIMIT,BID,3593.0,10
186,Ag(T+D)@sg,1522415330000,2018-03-30 21:08:50.000000,LIMIT,ASK,3594.0,10
187,Ag(T+D)@sg,1522415340000,2018-03-30 21:09:00.000000,LIMIT,ASK,3594.0,10
188,Ag(T+D)@sg,1522415350000,2018-03-30 21:09:10.000000,LIMIT,ASK,3594.0,10
189,Ag(T+D)@sg,1522415360000,2018-03-30 21:09:20.000000,LIMIT,ASK,3594.0,10
190,Ag(T+D)@sg,1522415370000,2018-03-30 21:09:30.000000,LIMIT,ASK,3595.0,10
191,Ag(T+D)@sg,1522415380000,2018-03-30 21:09:40.000000,LIMIT,ASK,3595.0,10
192,Ag(T+D)@sg,1522415390000,2018-03-30 21:09:50.000000,LIMIT,ASK,3595.0,10
193,Ag(T+D)@sg,1522415400000,2018-03-30 21:10:00.000000,LIMIT,ASK,3595.0,10
194,Ag(T+D)@sg,1522415410000,2018-03-30 21:10:10.000000,LIMIT,ASK,3595.0,10
195,Ag(T+D)@sg,1522415485000,2018-03-30 21:11:25.000000,LIMIT,BID,3594.0,10
196,Ag(T+D)@sg,1522415495000,2018-03-30 21:11:35.000000,LIMIT,BID,3595.0,10
197,Ag(T+D)@sg,1522415505000,2018-03-30 21:11:45.000000,LIMIT,BID,3595.0,10
198,Ag(T+D)@sg,1522415515000,2018-03-30 21:11:55.000000,LIMIT,BID,3595.0,10
199,Ag(T+D)@sg,1522415525000,2018-03-30 21:12:05.000000,LIMIT,BID,3595.0,10
